title,checkin,checkout,reference,url,calificacion,precio,contains,ciudad
Cabaña en San andres Isla,2020-07-12,2020-07-19,Casa de huéspedes entera en San Luis ,https://www.airbnb.com.co/rooms/17449573?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"4.73,113",150000,"2 huéspedes,Estudio,2 camas,1,5 baños,Aire acondicionado,Cocina,Wifi",San Andres
HABITACION #6 CASA HOSTEL SAN ANDRES,2020-07-12,2020-07-19,Habitación privada en san andres islas,https://www.airbnb.com.co/rooms/34155567?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"4.71,14",60000,"3 huéspedes,1 habitación,1 cama,1 baño,Cocina",San Andres
Departamento privado a solo 100 metros de la playa,2020-07-12,2020-07-19,Casa entera en San Andrés,https://www.airbnb.com.co/rooms/48262735?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,,80000,"2 huéspedes,Estudio,1 cama,1 baño,Aire acondicionado,Cocina,Wifi",San Andres
Villa Real House - Habitación 5  ( butterfly ),2020-07-12,2020-07-19,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/38215730?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"5.0,3",110000,"2 huéspedes,1 habitación,1 cama,1 baño privado,Aire acondicionado,Cocina,Wifi",San Andres
Habitación Doble con baño privado externo.,2020-07-12,2020-07-19,Habitación privada en San Andrés Islas ,https://www.airbnb.com.co/rooms/31153334?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"4.65,23",85000,"2 huéspedes,1 habitación,1 cama,1 baño compartido,Aire acondicionado,Cocina",San Andres
apartamento cerca a la playa en San Andrés isla,2020-07-12,2020-07-19,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/31075529?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"4.28,41",98571,"4 huéspedes,1 habitación,3 camas,1 baño,Aire acondicionado,Cocina",San Andres
Apartamento #6( mínimo 2 personas),2020-07-12,2020-07-19,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/35684660?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,,70000,"4 huéspedes,Estudio,0 camas,1 baño compartido,Aire acondicionado,Cocina,Wifi",San Andres
cama nido baño al lado de la habitacion,2020-07-12,2020-07-19,Habitación privada en San Andrés,https://www.airbnb.com.co/rooms/33069500?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"4.87,31",70000,"2 huéspedes,1 habitación,2 camas,1 baño privado,Aire acondicionado,Cocina,Wifi",San Andres
edificio bahia fragata Apartamento 302,2020-07-12,2020-07-19,Apartamento entero en San Andrés,https://www.airbnb.com.co/rooms/25687062?adults=2&previous_page_section_name=1000&federated_search_id=9baadf66-dba2-4568-b3b3-f3b9c93ba0a3,"4.64,61",220126,"4 huéspedes,1 habitación,2 camas,1 baño,Aire acondicionado,Cocina,Wifi",San Andres
Gorgeous Apt in Cartagena's Historic Walled City,2020-07-12,2020-07-19,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/48628712?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,,250000,"4 huéspedes,2 habitaciones,4 camas,2 baños,Wifi,Aire acondicionado,Cocina",Cartagena
Perfect apartement very well located,2020-07-12,2020-07-19,Conjunto residencial entero en Cartagena,https://www.airbnb.com.co/rooms/41368184?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"5.0,8",81571,"2 huéspedes,1 habitación,1 cama,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
Apartaestudio 1104 con vista al mar,2020-07-12,2020-07-19,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/17281748?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"4.50,142",79286,"3 huéspedes,1 habitación,2 camas,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
CONDOMINIO COMPLETO EXCELENTE UBICACIÓN,2020-07-12,2020-07-19,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/40803110?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"4.83,12",69000,"4 huéspedes,2 habitaciones,3 camas,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
LINDA HABITACIÓN LUMINOSA Y FRESCA,2020-07-12,2020-07-19,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/46924749?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"5.0,10",41000,"2 huéspedes,1 habitación,1 cama,1,5 baños compartidos,Wifi,Cocina",Cartagena
Sky༄ - One Day Home,2020-07-12,2020-07-19,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/45988417?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"4.91,43",89275,"2 huéspedes,1 habitación,1 baño privado,Wifi,Aire acondicionado,Cocina",Cartagena
2 HABITACION CON ENCANTO GETSEMANI CASA EBANO  967,2020-07-12,2020-07-19,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/24389734?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"4.83,30",95000,"2 huéspedes,1 habitación,1 cama,1 baño privado,Wifi,Aire acondicionado,Piscina",Cartagena
"DOUBLE ROOM NEAR TOURIST AREA KITCHEN,AC,WIFI",2020-07-12,2020-07-19,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/33611344?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"4.63,83",42286,"2 huéspedes,1 habitación,1 cama,2 baños compartidos,Wifi,Aire acondicionado,Cocina",Cartagena
#suite #morroscity #piscina #jacuzzi #wifi #plus,2020-07-12,2020-07-19,Conjunto residencial entero en Cartagena,https://www.airbnb.com.co/rooms/46527006?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"5.0,8",200000,"2 huéspedes,1 habitación,2 camas,3,5 baños,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
Studio apartment on laguito,2020-07-12,2020-07-19,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/4823565?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"4.64,240",107143,"3 huéspedes,Estudio,3 camas,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
Mar Mulata Apartasuite Loft # 1,2020-07-12,2020-07-19,Loft entero en Cartagena,https://www.airbnb.com.co/rooms/38848577?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"4.37,54",110000,"3 huéspedes,Estudio,1 cama,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
"Private room! B/room inside, AC, TV, WIFI, Kitchen",2020-07-12,2020-07-19,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/37051579?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"4.80,61",52857,"2 huéspedes,1 habitación,1 cama,1 baño privado,Wifi,Aire acondicionado,Cocina",Cartagena
Simple free place,2020-07-12,2020-07-19,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/48065138?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,,66262,"2 huéspedes,1 habitación,1 cama,1 baño compartido,Wifi,Piscina,Cocina",Cartagena
"La Terraza de Estella, habitacíon doble con balcon",2020-07-12,2020-07-19,Habitación privada en Cartagena,https://www.airbnb.com.co/rooms/28096278?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"4.83,42",52286,"2 huéspedes,1 habitación,1 cama,1 baño compartido,Wifi,Aire acondicionado,Cocina",Cartagena
Apartamento para renta en Cartagena,2020-07-12,2020-07-19,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/7675265?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,,60000,"2 huéspedes,1 habitación,2 camas,1 baño,Aire acondicionado,Piscina,Cocina",Cartagena
Marmulata Apartasuite Loft # 3,2020-07-12,2020-07-19,Loft entero en Cartagena,https://www.airbnb.com.co/rooms/45775197?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"4.55,33",124286,"4 huéspedes,Estudio,2 camas,1 baño,Wifi,Aire acondicionado,Cocina",Cartagena
"Studio doble privado AC, TV, Wifi,|8min aeropuerto",2020-07-12,2020-07-19,Loft entero en Cartagena,https://www.airbnb.com.co/rooms/25229321?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"4.68,87",50000,"2 huéspedes,1 habitación,1 cama,Medio baño,Wifi,Aire acondicionado,Cocina",Cartagena
Apartamento con vista al mar en El Laguito,2020-07-12,2020-07-19,Apartamento entero en Cartagena,https://www.airbnb.com.co/rooms/41376043?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"4.38,13",87000,"3 huéspedes,Estudio,1 cama,1 baño,Wifi,Aire acondicionado,Piscina,Cocina",Cartagena
Eco-Glamping in Palm-Hut for 2 & under palm trees,2020-07-12,2020-07-19,Habitación privada en La Boquilla,https://www.airbnb.com.co/rooms/46895446?adults=2&previous_page_section_name=1000&federated_search_id=946398cc-d9f9-4b0b-921d-772b1e6a5fb7,"5.0,11",60000,"2 huéspedes,1 habitación,1 cama,1,5 baños,Wifi,Cocina",Cartagena
CASA  CAMPO-LUNA,2020-07-12,2020-07-19,Habitación privada en San Agustín,https://www.airbnb.com.co/rooms/18776562?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,"4.58,13",42000,"7 huéspedes,3 habitaciones,5 camas,2 baños compartidos,Estacionamiento gratuito",San Agustín
Cabaña Ecológica de Arno,2020-07-12,2020-07-19,Cabaña entera en San Agustín,https://www.airbnb.com.co/rooms/22469111?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,"4.93,29",100000,"2 huéspedes,1 habitación,1 cama,1 baño",San Agustín
Urapán Casa de campo,2020-07-12,2020-07-19,Casa de campo entera en CO,https://www.airbnb.com.co/rooms/28808836?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,"4.92,12",80000,"4 huéspedes,2 habitaciones,3 camas,1 baño,Estacionamiento gratuito",San Agustín
Hotel El Turista La mejor ubicación y atención,2020-07-12,2020-07-19,Habitación privada en San Agustín,https://www.airbnb.com.co/rooms/42217325?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,,40000,"2 huéspedes,1 habitación,1 cama,1 baño privado",San Agustín
La casa de Hadas,2020-07-12,2020-07-19,Casa de campo entera en San Agustín,https://www.airbnb.com.co/rooms/27833782?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,,70000,"4 huéspedes,2 habitaciones,2 camas,1 baño,Estacionamiento gratuito",San Agustín
"Cabañas Manu Viajeros, tú mejor experiencia",2020-07-12,2020-07-19,Habitación privada en San Agustín,https://www.airbnb.com.co/rooms/34225518?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,"4.86,7",70000,"16 huéspedes,10 habitaciones,16 camas,8 baños,Estacionamiento gratuito",San Agustín
Hotel Ecológico La Antigua,2020-07-12,2020-07-19,Habitación privada en San Agustín,https://www.airbnb.com.co/rooms/21666471?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,"4.77,22",80000,"16 huéspedes,6 habitaciones,16 camas,4,5 baños,Estacionamiento gratuito",San Agustín
Temazcales TierraDentro,2020-07-12,2020-07-19,Habitación privada en San Agustín,https://www.airbnb.com.co/rooms/21398454?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,"4.30,23",80000,"3 huéspedes,1 habitación,1 cama,1 baño privado,Estacionamiento gratuito",San Agustín
"SA_Maravillosa Finca en San Agustín, el Manantial",2020-07-12,2020-07-19,Cabaña entera en San Agustín,https://www.airbnb.com.co/rooms/47733035?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,,66000,"16 huéspedes,3 habitaciones,9 camas,3,5 baños,Estacionamiento gratuito",San Agustín
Vista al cañón y cascadas propias,2020-07-12,2020-07-19,Casa de campo entera en San Agustín,https://www.airbnb.com.co/rooms/40153577?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,,80143,"15 huéspedes,4 habitaciones,15 camas,2 baños,Estacionamiento gratuito",San Agustín
Cabaña Cattleya - Finca cafetera - B&B,2020-07-12,2020-07-19,Habitación privada en San Agustín,https://www.airbnb.com.co/rooms/21161639?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,"4.96,49",60000,"2 huéspedes,1 habitación,1 cama,1 baño compartido,Estacionamiento gratuito",San Agustín
"Hotel El Turista, la mejor ubicacion y atención",2020-07-12,2020-07-19,Habitación de hotel en San Agustín,https://www.airbnb.com.co/rooms/35672286?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,"4.80,5",80000,"4 huéspedes,1 habitación,2 camas,0 baños compartidos",San Agustín
Finca Cometa,2020-07-12,2020-07-19,Chalé entero en San Agustín,https://www.airbnb.com.co/rooms/23970740?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,"5.0,18",102857,"4 huéspedes,1 habitación,1 cama,2 baños,Estacionamiento gratuito",San Agustín
Hotel Diamante Real San Agustín,2020-07-12,2020-07-19,Habitación de hotel en San Agustín,https://www.airbnb.com.co/rooms/47454870?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,,55076,"15 huéspedes,8 habitaciones,10 camas,1 baño privado",San Agustín
"Posada Chaska, cabaña 1",2020-07-12,2020-07-19,Habitación privada en San Agustín,https://www.airbnb.com.co/rooms/40845610?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,"5.0,10",120000,"8 huéspedes,4 habitaciones,4 camas,4 baños,Estacionamiento gratuito",San Agustín
Casa Annunakis,2020-07-12,2020-07-19,Pensión en CO,https://www.airbnb.com.co/rooms/26280778?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,,30000,"16 huéspedes,12 habitaciones,27 camas,3 baños",San Agustín
"Cabana 3 pisos, cerca sitios turisticos",2020-07-12,2020-07-19,Estadía en granja en San Agustín,https://www.airbnb.com.co/rooms/40580055?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,"4.0,4",66639,"6 huéspedes,2 habitaciones,3 camas,1,5 baños,Estacionamiento gratuito",San Agustín
Cabaña Numbana Luna Roja,2020-07-12,2020-07-19,Cabaña entera en Neiva,https://www.airbnb.com.co/rooms/22564010?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,,150000,"6 huéspedes,1 habitación,3 camas,2 baños,Estacionamiento gratuito",San Agustín
Hospedaje la Tercera,2020-07-12,2020-07-19,Habitación de hotel en San Agustín,https://www.airbnb.com.co/rooms/47713666?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,,70000,"3 huéspedes,6 habitaciones,3 camas,1 baño privado",San Agustín
"Increíble casa, a las afueras. Moderna y tranquila",2020-07-12,2020-07-19,Cabaña entera en San Agustín,https://www.airbnb.com.co/rooms/48699601?adults=2&previous_page_section_name=1000&federated_search_id=938f4522-98a7-47d1-a055-f8ba3ed3bbff,,120000,"6 huéspedes,2 habitaciones,2 camas,2 baños,Estacionamiento gratuito",San Agustín
"Posada Chaska, cabaña 2",2020-07-12,2020-07-19,Habitación privada en San Agustín,https://www.airbnb.com.co/rooms/40940198?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,"5.0,4",120000,"4 huéspedes,2 habitaciones,2 camas,2 baños,Estacionamiento gratuito",San Agustín
"Hotel Kasama, un goce a tus sentidos.",2020-07-12,2020-07-19,Habitación de hotel en San Agustín,https://www.airbnb.com.co/rooms/47705444?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,,130000,"12 huéspedes,8 habitaciones,16 camas,9 baños,Estacionamiento gratuito",San Agustín
"HOSTAL CATLEYA Via Parqué Arqueológico.
S Agustín",2020-07-12,2020-07-19,Habitación privada en San Agustín,https://www.airbnb.com.co/rooms/40531746?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,"4.17,6",73000,"14 huéspedes,5 habitaciones,11 camas,3 baños",San Agustín
Private Room w/Bathroom in a colonial street,2020-07-12,2020-07-19,Habitación de hotel en San Agustín,https://www.airbnb.com.co/rooms/19657204?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,"4.88,8",950000,"3 huéspedes,1 habitación,2 camas,1 baño",San Agustín
VILLA GILMA LODGE,2020-07-12,2020-07-19,Habitación privada en San Agustín,https://www.airbnb.com.co/rooms/15844035?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,"4.97,32",85500,"11 huéspedes,4 habitaciones,8 camas,5 baños,Estacionamiento gratuito",San Agustín
Hotel alto de los Andaquies Dormitorio Doble,2020-07-12,2020-07-19,Habitación de hotel en San Agustín,https://www.airbnb.com.co/rooms/37046643?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,,80000,"3 huéspedes,1 habitación,1 cama,1 baño,Estacionamiento gratuito",San Agustín
Cabaña Numbana Luna Azul,2020-07-12,2020-07-19,Cabaña entera en Neiva,https://www.airbnb.com.co/rooms/22565052?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,,148000,"3 huéspedes,1 habitación,2 camas,1 baño,Estacionamiento gratuito",San Agustín
La Maloka de la Estrella. A 15 minutos del pueblo.,2020-07-12,2020-07-19,Casa de campo entera en San Agustín,https://www.airbnb.com.co/rooms/36759900?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,,130000,"6 huéspedes,3 habitaciones,5 camas,1 baño,Estacionamiento gratuito",San Agustín
La vasa de jhonny,2020-07-12,2020-07-19,Casa entera en San Agustín,https://www.airbnb.com.co/rooms/23368886?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,,70000,"4 huéspedes,Estudio,2 camas,1 baño,Estacionamiento gratuito",San Agustín
MERAKI SAN AGUSTIN,2020-07-12,2020-07-19,Habitación compartida en San Agustín,https://www.airbnb.com.co/rooms/38627815?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,,40000,"12 huéspedes,1 habitación,2 camas,1 baño compartido",San Agustín
san Agustín un sitio por descubrir llama aqui,2020-07-12,2020-07-19,Habitación privada en San Agustín,https://www.airbnb.com.co/rooms/38699816?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,,36000,"4 huéspedes,7 habitaciones,2 camas,1 baño privado,Estacionamiento gratuito",San Agustín
Hotel campestre Alto de los Andaquies,2020-07-12,2020-07-19,Habitación de hotel en San Agustín,https://www.airbnb.com.co/rooms/35010100?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,,90000,"16 huéspedes,1 habitación,3 camas,1 baño compartido,Estacionamiento gratuito",San Agustín
Espectacular villa en San Agustin Huila,2020-07-12,2020-07-19,Casa entera en San Agustín,https://www.airbnb.com.co/rooms/15342916?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,"4.50,7",150000,"8 huéspedes,3 habitaciones,6 camas,2 baños,Estacionamiento gratuito",San Agustín
Habitación (1) en Finca El Pinar del Rio,2020-07-12,2020-07-19,Habitación privada en  San Agustín,https://www.airbnb.com.co/rooms/46124148?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,,85000,"2 huéspedes,1 habitación,1 cama,1 baño compartido,Estacionamiento gratuito",San Agustín
Habitación (2) en Finca El Pinar del Rio,2020-07-12,2020-07-19,Habitación privada en Vereda La Estrella,https://www.airbnb.com.co/rooms/46124840?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,,80000,"2 huéspedes,1 habitación,1 cama,1 baño compartido,Estacionamiento gratuito",San Agustín
Pizza gratis,2020-07-12,2020-07-19,Habitación de hotel en San Agustín,https://www.airbnb.com.co/rooms/37805333?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,,40000,"2 huéspedes,1 habitación,1 cama,1 baño",San Agustín
estamos ubicados en una zona cercana a todo.,2020-07-12,2020-07-19,Habitación privada en San Agustín,https://www.airbnb.com.co/rooms/45638143?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,,70000,"2 huéspedes,1 habitación,1 baño privado",San Agustín
Cabaña.   Via al estrecho del magdalena.,2020-07-12,2020-07-19,Cabaña entera en San Agustín,https://www.airbnb.com.co/rooms/47138478?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,,100000,"6 huéspedes,2 habitaciones,3 camas,1 baño",San Agustín
Cabaña el descanso,2020-07-12,2020-07-19,Habitación privada en Huila,https://www.airbnb.com.co/rooms/24077502?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,,43000,"12 huéspedes,4 habitaciones,9 camas,5,5 baños compartidos,Estacionamiento gratuito",San Agustín
HABITACION PRIVADA EN CASA CAMPO SAMA WELLNESS SPA,2020-07-12,2020-07-19,Habitación privada en San Agustín,https://www.airbnb.com.co/rooms/37833664?adults=2&previous_page_section_name=1000&federated_search_id=80d2a8c1-3bef-4488-8e37-4e510ad5ebc0,,154286,"2 huéspedes,1 habitación,1 cama,1 baño privado,Estacionamiento gratuito",San Agustín
